Title	Publication	Date	URL
Toronto towers reveal complex recipe of 21st-century downtown skyscraper	The Globe and Mail	6/12/2016	http://www.theglobeandmail.com/life/home-and-garden/architecture/toronto-towers-reveal-complex-recipe-of-21st-century-downtown-skyscraper/article30395473/
Anatomy of a $2-billion deal: Class A office towers meet bus terminal	The Globe and Mail	11/24/2014	http://www.theglobeandmail.com/report-on-business/industry-news/property-report/anatomy-of-a-2-billion-deal-class-a-office-towers-meet-bus-terminal/article21733071/
Anatomy of a $2B deal: Class A office towers meet bus terminal	Business News Network	11/24/2014	http://www.bnn.ca/News/2014/11/24/Anatomy-of-a-2B-deal-Class-A-office-towers-meet-bus-terminal.aspx
45-141 Bay Street LEED® Platinum Office Tower Complex	Archello	11/9/2014	http://ca.archello.com/en/project/45-141-bay-street-leed%C2%AE-platinum-office-tower-complex
wilkinson eyre selected for toronto transit-hub development	designboom	10/1/2014	http://www.designboom.com/architecture/wilkinson-eyre-ivanhoe-cambridge-metrolinx-bay-street-toronto-10-01-2014/
Toronto to receive new $1.8bn office and transit development	designbuild-network.com	10/1/2014	http://www.designbuild-network.com/news/newstoronto-to-receive-new-18bn-office-and-transit-development-4391080
La Caisse présente un mégaprojet à Toronto	La Presse	9/30/2014	http://affaires.lapresse.ca/economie/immobilier/201409/30/01-4804833-la-caisse-presente-un-megaprojet-a-toronto.php
Signe que l'économie est en bonne santé, Ivanhoé Cambridge démarre deux projets	Pi2	9/30/2014	http://www.pi2.ca/Contenus/Article/2014/Septembre---Octobre/Sept-29/Enfin-Le-900-.aspx
Ivanhoé annonce un projet immobilier avec Metrolinx au centre de Toronto	Les Affaires	9/30/2014	http://www.lesaffaires.com/secteurs-d-activite/immobilier/ivanhoe-annonce-un-projet-immobilier-avec-metrolinx-au-centre-de-toronto/572509
Toronto to get its first sky park as part of mega project	blogTO	9/30/2014	http://www.blogto.com/city/2014/09/toronto_to_get_its_first_sky_park_as_part_of_mega_project/
$2-billion complex near Union Station to include new GO bus terminal	The Globe and Mail	9/30/2014	http://www.theglobeandmail.com/report-on-business/industry-news/property-report/2-billion-complex-near-union-station-to-include-new-go-bus-terminal/article20855931/
Ivanhoé unveils Bay Street plans	Bisnow	9/30/2014	https://www.bisnow.com/toronto/news/mixed-use/Ivanho-Unveils-Bay-Street-Plans-39135
Le choix Immoweek : Ivanhoé Cambridge, entre ciel et ferroviaire	Immoweek	9/30/2014	http://www.immoweek.fr/immobilier/actualites/les-rendez-vous-1053/le-choix-immoweek-ivanhoe-cambridge-entre-ciel-et-ferroviaire-13357
New GO bus terminal part of massive project	Toronto Sun	9/30/2014	http://www.torontosun.com/2014/09/30/new-go-bus-terminal-part-of-massive-project
Toronto to get its first sky park as part of mega project	Events in Toronto	9/30/2014	http://eventsintorontonow.blogspot.ca/2014/09/toronto-to-get-its-first-sky-park-as.html
Une filiale de la Caisse de dépôt investit dans un mégaprojet au coeur de Toronto	Radio-Canada.ca	9/30/2014	http://ici.radio-canada.ca/regions/ontario/2014/09/30/004-toronto-ivanhoe-cambridge-bureaux-parc.shtml
Metrolinx and Ivanhoe Cambridge partner on new GO Transit bus terminal at Bay and Yonge	Inside Toronto	9/30/2014	http://www.insidetoronto.com/news-story/4888770-metrolinx-and-ivanhoe-cambridge-partner-on-new-go-transit-bus-terminal-at-bay-and-yonge/
Union Station getting new GO bus terminal, office tower development	CBC News Toronto	9/30/2014	http://www.cbc.ca/news/canada/toronto/union-station-getting-new-go-bus-terminal-office-tower-development-1.2782397
Metrolink plans new GO Bus terminal at Union Station	Transit Toronto	9/30/2014	http://transit.toronto.on.ca/archives/weblog/2014/09/30-metrolinx_.shtml
NEW: Bus terminal coming to Union Station as part of multi-billion dollar development deal	News Talk 1010	9/30/2014	http://www.newstalk1010.com/news/2014/09/30/new-bus-terminal-coming-to-union-station-as-part-of-multi-billion-dollar-development-deal
Toronto to get new GO bus terminal at Union Station	CHCH	9/30/2014	http://www.chch.com/toronto-get-new-go-bus-terminal-union-station/
81 Bay Street	Adamson Associates	9/30/2014	http://www.adamson-associates.com/project/81-bay-street
Première participation du privé dans les transports de l’Ontario	TFO	9/30/2014	http://www5.tfo.org/onfr/une-premiere-participation-du-prive-dans-les-transports-de-lontario/
Ivanhoe, Metrolinx working on major development proposal	Real Estate News Exchange	8/15/2014	http://renx.ca/newsletter/commercial-real-estate-news-august-15-2014/
